Check ID,Check Name,Limb,"Requirement from ""What to Look For""",Canonical Path,Evidence Categories to Compare Against,Trigger Field,Notes
CHK-001,Suitability completeness against client information,Consistency,"Facts used in calculations, cashflow modelling, projections and assumptions match the facts stated in the report narrative",needsAnalysis.wasCashflowModelled;needsAnalysis.assumptions[];needsAnalysis.scenarios[];financialPosition.totals.monthlySurplusOrDeficit,F;G,isAdvisedCase,"ValueMatch. 3 queries, 2 Core (Q1.11.1, Q1.11.2, Q1.11.3)"
CHK-002,"Objectives, Needs and Time-Horizon Alignment",Consistency,Stated goals and their priority order,objectives[].summary;objectives[].details;objectives[].priorityRank;objectives[].isClientStated,B;C;F,always,"SetCoverage. Tolerance: Every objective in the report must be traceable to an evidenced objective; wording need not match.. 4 queries, 3 Core (Q2.1.1, Q2.1.2, Q2.1.3, Q2.1.4)"
CHK-002,"Objectives, Needs and Time-Horizon Alignment",Consistency,Retirement target date and investment time horizon details,objectives[].targetDate;objectives[].targetAge;objectives[].termYears;objectives[].timeHorizon;parties.clients[].employments[].intendedRetirementAge,B;C;F,always,"RangeMatch. Tolerance: Report term and evidenced term must be reconcilable; a difference greater than 2 years is a mismatch.. 4 queries, 3 Core (Q2.2.1, Q2.2.2, Q2.2.3, Q2.2.4)"
CHK-002,"Objectives, Needs and Time-Horizon Alignment",Consistency,"Access requirements — emergency, planned and ad-hoc",financialPosition.liquidityAndAccessNeeds[];financialPosition.emergencyFund,B;F,always,"SetCoverage. 3 queries, 3 Core (Q2.3.1, Q2.3.2, Q2.3.3)"
CHK-002,"Objectives, Needs and Time-Horizon Alignment",Consistency,Foreseeable life changes,financialPosition.foreseeableChanges[],B;C;F,always,"SetCoverage. 3 queries, 2 Core (Q2.4.1, Q2.4.2, Q2.4.3)"
CHK-002,"Objectives, Needs and Time-Horizon Alignment",Appropriateness,Conflicting goals,objectives[].priorityRank;objectives[].targetDate;objectives[].targetAmount,F;C,always,"NarrativeAlignment. 2 queries, 1 Core (Q2.5.1, Q2.5.2)"
CHK-002,"Objectives, Needs and Time-Horizon Alignment",Appropriateness,"Recommendations are appropriate for the stated goals given access needs, term and foreseeable changes",recommendations[].linkedObjectiveIds;solution.recommendedPlans[];objectives[].timeHorizon,F;G;H,always,"NarrativeAlignment. 3 queries, 3 Core (Q2.6.1, Q2.6.2, Q2.6.3)"
CHK-002,"Objectives, Needs and Time-Horizon Alignment",Consistency,"Goals, assumptions or planning requirements stated in the report that are not supported by the evidence",objectives[].summary;objectives[].isClientStated;objectives[].provenance;needsAnalysis.assumptions[],B;C,always,"SetCoverage. 3 queries, 2 Core (Q2.7.1, Q2.7.2, Q2.7.3)"
CHK-002,"Objectives, Needs and Time-Horizon Alignment",Consistency,Target retirement income stated in the report is consistent with the evidence and with the figures the plan is modelled on,objectives[].targetIncome;objectives[].targetIncomeFrequency;needsAnalysis.assumptions[];financialPosition.totals.totalMonthlyIncomeNet,B;C;G,always,"ValueMatch. Tolerance: A figure stated as approximate, or as a range, agrees with any evidence figure inside it. Gross and net are not interchangeable. 3 queries, 2 Core (Q2.8.1, Q2.8.2, Q2.8.3)"
CHK-003,"Risk, Capacity for Loss and Investment Strategy Match",Consistency,Risk rating and summary,riskAssessment.perClient[].attitudeToRisk.assessedCode;riskAssessment.perClient[].attitudeToRisk.agreedCode;riskAssessment.perClient[].attitudeToRisk.label;riskAssessment.perClient[].attitudeToRisk.scaleName,B;D,hasInvestmentOrPensionRecommendation,"ValueMatch. Tolerance: The agreed code in the report must equal the code adopted in the ATR evidence, on the same scale.. 4 queries, 4 Core (Q3.1.1, Q3.1.2, Q3.1.3, Q3.1.4)"
CHK-003,"Risk, Capacity for Loss and Investment Strategy Match",Consistency,Capacity for loss assessment,riskAssessment.perClient[].capacityForLoss.rating;riskAssessment.perClient[].capacityForLoss.assessmentBasis;riskAssessment.perClient[].capacityForLoss.isSeparatelyAssessedFromAtr,B;D;F,hasInvestmentOrPensionRecommendation,"ValueMatch. 4 queries, 3 Core (Q3.2.1, Q3.2.2, Q3.2.3, Q3.2.4)"
CHK-003,"Risk, Capacity for Loss and Investment Strategy Match",Consistency,Tolerance for loss and need-level risk,riskAssessment.perClient[].toleranceForLoss;objectives[].needLevelRisk,D;F,hasInvestmentOrPensionRecommendation,"RangeMatch. 3 queries, 2 Core (Q3.3.1, Q3.3.2, Q3.3.3)"
CHK-003,"Risk, Capacity for Loss and Investment Strategy Match",Consistency,Time horizon used to support the risk profile,riskAssessment.perClient[].investmentTermYears;objectives[].timeHorizon,B;D;F,hasInvestmentOrPensionRecommendation,"RangeMatch. Tolerance: The term used in the risk section must be reconcilable with the objective horizon from CHK-002.. 2 queries, 2 Core (Q3.4.1, Q3.4.2)"
CHK-003,"Risk, Capacity for Loss and Investment Strategy Match",Consistency,Investment strategy and asset allocation,solution.investmentStrategy.targetRiskRating;solution.investmentStrategy.holdings[];solution.investmentStrategy.assetAllocation[];solution.investmentStrategy.strategyType,G;H,hasInvestmentOrPensionRecommendation,"ValueMatch. Tolerance: The strategy's risk rating must equal the client's agreed rating on the same scale; fund allocations must total 100%.. 5 queries, 4 Core (Q3.5.1, Q3.5.2, Q3.5.3, Q3.5.4, Q3.5.5)"
CHK-003,"Risk, Capacity for Loss and Investment Strategy Match",Consistency,Risk override justification where the agreed rating differs from the questionnaire,riskAssessment.perClient[].reconciliation,C;D,hasInvestmentOrPensionRecommendation,"PresenceOnly. 3 queries, 3 Core (Q3.6.1, Q3.6.2, Q3.6.3)"
CHK-003,"Risk, Capacity for Loss and Investment Strategy Match",Appropriateness,"Recommendation or strategy exceeds risk tolerance, taking account of capacity for loss",solution.investmentStrategy.targetRiskRating;riskAssessment.perClient[].attitudeToRisk.agreedCode;riskAssessment.perClient[].capacityForLoss.rating;existingArrangements[].riskRating,D;E;G,hasInvestmentOrPensionRecommendation,"RangeMatch. 4 queries, 3 Core (Q3.7.1, Q3.7.2, Q3.7.3, Q3.7.4)"
CHK-003,"Risk, Capacity for Loss and Investment Strategy Match",Consistency,"Conflicting risk scores, descriptions or labels across the file",riskAssessment.perClient[].attitudeToRisk;riskAssessment.perClient[].reconciliation;riskAssessment.perClient[].attitudeToRisk.assessedCode;riskAssessment.perClient[].attitudeToRisk.agreedCode;riskAssessment.perClient[].attitudeToRisk.scaleName;riskAssessment.perClient[].attitudeToRisk.label,B;C;D;E;G,hasInvestmentOrPensionRecommendation,"ValueMatch. 3 queries, 3 Core (Q3.8.1, Q3.8.2, Q3.8.3)"
CHK-003,"Risk, Capacity for Loss and Investment Strategy Match",Appropriateness,"Recommended funds and portfolio align with the client's attitude to risk, capacity for loss and investment term",solution.investmentStrategy;riskAssessment.perClient[].attitudeToRisk;riskAssessment.perClient[].capacityForLoss;riskAssessment.perClient[].investmentTermYears;solution.recommendedPlans[].projections,G;H,hasInvestmentOrPensionRecommendation,"NarrativeAlignment. 3 queries, 3 Core (Q3.9.1, Q3.9.2, Q3.9.3)"
CHK-003,"Risk, Capacity for Loss and Investment Strategy Match",Consistency,"Unsupported, contradictory or unexplained statements about risk, loss capacity, term or strategy",riskAssessment.perClient[].attitudeToRisk;riskAssessment.perClient[].capacityForLoss;riskAssessment.perClient[].toleranceForLoss;riskAssessment.perClient[].reconciliation;solution.investmentStrategy,B;C;D;G,hasInvestmentOrPensionRecommendation,"NarrativeAlignment. 3 queries, 2 Core (Q3.10.1, Q3.10.2, Q3.10.3)"
CHK-004,"Knowledge, Experience and Product Complexity",Consistency,Client's stated product and investment knowledge level,knowledgeAndExperience.perClient[].statedLevel,B;C;D,always,"ValueMatch. 3 queries, 2 Core (Q4.1.1, Q4.1.2, Q4.1.3)"
CHK-004,"Knowledge, Experience and Product Complexity",Consistency,Previous investment and pension experience,knowledgeAndExperience.perClient[].productExperience[],B;D;E,always,"SetCoverage. 3 queries, 3 Core (Q4.2.1, Q4.2.2, Q4.2.3)"
CHK-004,"Knowledge, Experience and Product Complexity",Consistency,"Complexity of recommended products and investments, including risks and features",knowledgeAndExperience.recommendedProductComplexity[];solution.recommendedPlans[],G;H,always,"PresenceOnly. 4 queries, 4 Core (Q4.3.1, Q4.3.2, Q4.3.3, Q4.3.4)"
CHK-004,"Knowledge, Experience and Product Complexity",Appropriateness,"Recommended product is too complex for the stated level of knowledge, or the knowledge level has been misinterpreted",knowledgeAndExperience.recommendedProductComplexity[].complexity;knowledgeAndExperience.perClient[].statedLevel,C;D;H,always,"NarrativeAlignment. 2 queries, 2 Core (Q4.4.1, Q4.4.2)"
CHK-004,"Knowledge, Experience and Product Complexity",Appropriateness,"Evidence that the client can evaluate the risks and features of a complex product, based on their questions and comprehension",knowledgeAndExperience.perClient[].understandingEvidence[],C,always,"PresenceOnly. 3 queries, 2 Core (Q4.5.1, Q4.5.2, Q4.5.3)"
CHK-004,"Knowledge, Experience and Product Complexity",Consistency,Existing holdings evidencing investment and pension experience,knowledgeAndExperience.perClient[].productExperience[];existingArrangements[].planType;existingArrangements[].holdings[],B;E,always,"SetCoverage. 3 queries, 2 Core (Q4.6.1, Q4.6.2, Q4.6.3)"
CHK-004,"Knowledge, Experience and Product Complexity",Appropriateness,Adequacy of the rationale supporting a complex recommendation,knowledgeAndExperience.recommendedProductComplexity[].complexity;knowledgeAndExperience.recommendedProductComplexity[].complexityDrivers[];recommendations[].rationale[],C;G;H,always,"PresenceOnly. 3 queries, 3 Core (Q4.7.1, Q4.7.2, Q4.7.3)"
CHK-005,"Financial Resilience, Affordability and Liquidity",Consistency,Affordability of initial and ongoing commitments,financialPosition.affordabilityAssessment;financialPosition.affordabilityAssessment.initialCommitment,B;F,hasCapitalContributionsOrWithdrawals,"ValueMatch. Sections: Total Monthly Disposable Income; Current Monthly Cash Flow. 5 queries, 5 Core (Q5.1.1, Q5.1.2, Q5.1.3, Q5.1.4, Q5.1.5)"
CHK-005,"Financial Resilience, Affordability and Liquidity",Consistency,Financial situation plus cashflow supports the recommendation,financialPosition.totals;needsAnalysis.scenarios[];needsAnalysis.assumptions[],B;F,hasCapitalContributionsOrWithdrawals,"ValueMatch. Tolerance: Every figure the report says was modelled must match the fact find within 5%.. Sections: Total Monthly Disposable Income; Total Net Monthly Income. 5 queries, 5 Core (Q5.2.1, Q5.2.2, Q5.2.3, Q5.2.4, Q5.2.5)"
CHK-005,"Financial Resilience, Affordability and Liquidity",Consistency,"Emergency fund and liquidity needs, foreseeable and unforeseeable",financialPosition.emergencyFund;financialPosition.liquidityAndAccessNeeds[];financialPosition.emergencyFund.requiredAmount,B;F,hasCapitalContributionsOrWithdrawals,"ValueMatch. 4 queries, 3 Core (Q5.3.1, Q5.3.2, Q5.3.3, Q5.3.4)"
CHK-005,"Financial Resilience, Affordability and Liquidity",Appropriateness,"Initial and ongoing commitments are unaffordable based on income, expenditure and cashflow",financialPosition.affordabilityAssessment;financialPosition.totals.monthlySurplusOrDeficit,B;F,hasCapitalContributionsOrWithdrawals,"RangeMatch. Tolerance: Flag where an ongoing income commitment exceeds evidenced monthly surplus.. Sections: Total Monthly Disposable Income; Total Monthly Expenditure. 3 queries, 2 Core (Q5.4.1, Q5.4.2, Q5.4.3)"
CHK-005,"Financial Resilience, Affordability and Liquidity",Appropriateness,"Emergency funds not taken into account, or depleted or unavailable when required",financialPosition.emergencyFund.shortfall;financialPosition.liquidityAndAccessNeeds[].fundedFrom,B;F,hasCapitalContributionsOrWithdrawals,"NarrativeAlignment. 2 queries, 1 Core (Q5.5.1, Q5.5.2)"
CHK-005,"Financial Resilience, Affordability and Liquidity",Appropriateness,Liquidity mismatch with access needs,financialPosition.liquidityAndAccessNeeds[].requiredFrom;solution.recommendedPlans[].wrapper;solution.recommendedPlans[].selectedRetirementAge,F;H,hasCapitalContributionsOrWithdrawals,"RangeMatch. 3 queries, 3 Core (Q5.6.1, Q5.6.2, Q5.6.3)"
CHK-005,"Financial Resilience, Affordability and Liquidity",Consistency,State Pension entitlement and other anticipated income sources,financialPosition.incomes[].category;financialPosition.incomes[].gross;financialPosition.incomes[].startsOn,B;F,hasCapitalContributionsOrWithdrawals,"ValueMatch. Sections: State Pension; Total Net Monthly Income. 3 queries, 2 Core (Q5.7.1, Q5.7.2, Q5.7.3)"
CHK-005,"Financial Resilience, Affordability and Liquidity",Consistency,Planned future expenditure and foreseeable financial needs,financialPosition.foreseeableChanges[];financialPosition.liquidityAndAccessNeeds[],B;C;F,hasCapitalContributionsOrWithdrawals,"SetCoverage. 3 queries, 3 Core (Q5.8.1, Q5.8.2, Q5.8.3)"
CHK-006,Recommendation Rationale and Suitable Alternatives,Consistency,"Client-specific rationale for each recommendation, linked to specified goals",recommendations[].rationale[].text;recommendations[].rationale[].isClientSpecific;recommendations[].linkedObjectiveIds,B;C;F;G,isAdvisedCase,"NarrativeAlignment. 4 queries, 4 Core (Q6.1.1, Q6.1.2, Q6.1.3, Q6.1.4)"
CHK-006,Recommendation Rationale and Suitable Alternatives,Consistency,"Justification for the particular product, provider, wrapper and investment",solution.providerSelection.rationale[];solution.investmentStrategy.rationale[];solution.recommendedPlans[],G;H,isAdvisedCase,"NarrativeAlignment. 5 queries, 4 Core (Q6.2.1, Q6.2.2, Q6.2.3, Q6.2.4, Q6.2.5)"
CHK-006,Recommendation Rationale and Suitable Alternatives,Consistency,Personalised language linked to individual circumstances,recommendations[].rationale[].isClientSpecific,B;C,isAdvisedCase,"NarrativeAlignment. 3 queries, 3 Core (Q6.3.1, Q6.3.2, Q6.3.3)"
CHK-006,Recommendation Rationale and Suitable Alternatives,Consistency,Alternatives considered and reasons for rejection,recommendations[].alternativesConsidered[];research.optionsConsidered[],G,isAdvisedCase,"SetCoverage. 6 queries, 6 Core (Q6.4.1, Q6.4.2, Q6.4.3, Q6.4.4, Q6.4.5, Q6.4.6)"
CHK-006,Recommendation Rationale and Suitable Alternatives,Consistency,Every existing arrangement has a stated recommended outcome and a rationale supporting it,existingArrangements[].adviceAction;existingArrangements[].adviceActionRationale[];existingArrangements[].productName;existingArrangements[].adviceActionRationale[].isClientSpecific,E;G;H,isAdvisedCase,"SetCoverage. 3 queries, 3 Core (Q6.5.1, Q6.5.2, Q6.5.3)"
CHK-006,Recommendation Rationale and Suitable Alternatives,Consistency,"Where a change is suggested, the report states whether it is recommended, who will implement it, and the intended outcome",recommendations[].action;recommendations[].summary;solution.implementation;recommendations[].adviceStatus;recommendations[].intendedOutcome;recommendations[].implementation.willAdviserImplement;recommendations[].implementation.responsibleParty,C;H,isAdvisedCase,"PresenceOnly. 3 queries, 3 Core (Q6.6.1, Q6.6.2, Q6.6.3)"
CHK-006,Recommendation Rationale and Suitable Alternatives,Appropriateness,Recommendations that present multiple possible outcomes without stating which is recommended and why,recommendations[].summary;recommendations[].action;recommendations[].rationale[];recommendations[].optionsPresented[];recommendations[].optionsPresented[].isRecommended;recommendations[].optionsPresented[].reasonGiven;recommendations[].presentsUnresolvedOptions;recommendations[].adviceStatus,C,isAdvisedCase,"PresenceOnly. 3 queries, 3 Core (Q6.7.1, Q6.7.2, Q6.7.3)"
CHK-006,Recommendation Rationale and Suitable Alternatives,Consistency,"Recommendations state what action will be taken, when, and by whom where that is material to suitability",solution.implementation;recommendations[].action;recommendations[].implementation.expectedTimescale;recommendations[].implementation.responsibleParty;solution.implementation.expectedTimescale;solution.implementation.nextSteps[],C;H,isAdvisedCase,"PresenceOnly. 3 queries, 3 Core (Q6.8.1, Q6.8.2, Q6.8.3)"
CHK-006,Recommendation Rationale and Suitable Alternatives,Consistency,"Ancillary recommendations - beneficiary nomination, Power of Attorney, will review - are stated with an owner and are consistent with what the file records",solution.implementation.nextSteps[];recommendations[].action;recommendations[].implementation.responsibleParty;parties.clients[].estatePlanning.hasWill;parties.clients[].estatePlanning.isWillUpToDate;parties.clients[].estatePlanning.isPowerOfAttorneyGranted,B;C,isAdvisedCase,"PresenceOnly. 3 queries, 3 Core (Q6.9.1, Q6.9.2, Q6.9.3)"
CHK-007,"Costs, Charges and Value of the Recommendation",Consistency,"All material costs disclosed — product, platform, fund, transaction, advice",costsAndCharges.disclosureCompleteness;costsAndCharges.recommended.lines[];costsAndCharges.recommended.totalOngoingPercentage,E;G;H,hasCostsAndChargesSection,"SetCoverage. Tolerance: Every cost layer present in the illustration or factsheets must appear in the report.. 6 queries, 5 Core (Q7.1.1, Q7.1.2, Q7.1.3, Q7.1.4, Q7.1.5, Q7.1.6)"
CHK-007,"Costs, Charges and Value of the Recommendation",Consistency,"Initial and ongoing adviser fees, consistent with the client agreement",costsAndCharges.adviserFees[];costsAndCharges.adviserFees[].matchesClientAgreement,A;H,hasCostsAndChargesSection,"ValueMatch. Tolerance: Percentages must match the client agreement exactly; monetary amounts must be that percentage of the stated investment.. 5 queries, 4 Core (Q7.2.1, Q7.2.2, Q7.2.3, Q7.2.4, Q7.2.5)"
CHK-007,"Costs, Charges and Value of the Recommendation",Consistency,Cumulative impact of costs and charges,costsAndCharges.reductionInYield[],H;F,hasCostsAndChargesSection,"ValueMatch. 4 queries, 3 Core (Q7.3.1, Q7.3.2, Q7.3.3, Q7.3.4)"
CHK-007,"Costs, Charges and Value of the Recommendation",Consistency,Cost comparison with alternative options,costsAndCharges.comparison;costsAndCharges.existing,E;G;C,hasCostsAndChargesSection,"ValueMatch. Tolerance: Each existing-plan charge in the comparison table must match the provider documentation and be arithmetically consistent with the plan's value.. 4 queries, 4 Core (Q7.4.1, Q7.4.2, Q7.4.3, Q7.4.4)"
CHK-007,"Costs, Charges and Value of the Recommendation",Consistency,Benefit versus cost — fair value,costsAndCharges.valueAssessment,G;H;B,hasCostsAndChargesSection,"NarrativeAlignment. 4 queries, 3 Core (Q7.5.1, Q7.5.2, Q7.5.3, Q7.5.4)"
CHK-007,"Costs, Charges and Value of the Recommendation",Appropriateness,Costs are excessive relative to the benefits provided,costsAndCharges.valueAssessment.requiredOutperformancePercentage;costsAndCharges.comparison.differencePercentage,G;H,hasCostsAndChargesSection,"Model-only: compares the report against itself, no evidence sought. RangeMatch. 2 queries, 2 Core (Q7.6.1, Q7.6.2)"
CHK-007,"Costs, Charges and Value of the Recommendation",Appropriateness,Alternatives provide better cost or benefit to the client,recommendations[].alternativesConsidered[].comparativeCost,G,hasCostsAndChargesSection,"ValueMatch. 2 queries, 2 Core (Q7.7.1, Q7.7.2)"
CHK-007,"Costs, Charges and Value of the Recommendation",Consistency,"Reduction in yield, critical yield and cumulative cost illustrations",costsAndCharges.reductionInYield[];costsAndCharges.reductionInYield[].riyPercentage;costsAndCharges.reductionInYield[].criticalYieldPercentage;costsAndCharges.reductionInYield[].growthRateBasis,E;G;H,hasCostsAndChargesSection,"RangeMatch. 3 queries, 3 Core (Q7.8.1, Q7.8.2, Q7.8.3)"
CHK-007,"Costs, Charges and Value of the Recommendation",Consistency,The service proposition attached to the ongoing adviser charge,ongoingService.servicesIncluded[];ongoingService.annualCostPercentage;ongoingService.reviewFrequency;costsAndCharges.adviserFees[].servicesProvidedForFee[];costsAndCharges.adviserFees[].matchesClientAgreement,A;C,hasCostsAndChargesSection,"SetCoverage. 3 queries, 3 Core (Q7.9.1, Q7.9.2, Q7.9.3)"
CHK-007,"Costs, Charges and Value of the Recommendation",Consistency,Benefits relied upon to justify a higher cost,costsAndCharges.valueAssessment.benefitsStated[];costsAndCharges.valueAssessment.costJustification[],E;G;H,hasCostsAndChargesSection,"NarrativeAlignment. 3 queries, 3 Core (Q7.10.1, Q7.10.2, Q7.10.3)"
CHK-007,"Costs, Charges and Value of the Recommendation",Appropriateness,Higher charges producing lower projected outcomes or an increased yield requirement,costsAndCharges.comparison.direction;costsAndCharges.comparison.differencePercentage;costsAndCharges.valueAssessment.requiredOutperformancePercentage;solution.recommendedPlans[].projections;costsAndCharges.reductionInYield[].riyPercentage;costsAndCharges.reductionInYield[].criticalYieldPercentage,E;G;H,hasCostsAndChargesSection,"RangeMatch. 3 queries, 3 Core (Q7.11.1, Q7.11.2, Q7.11.3)"
CHK-008,"Disadvantages, Risks and Customer Understanding",Consistency,"Material disadvantages, risk factors and limitations of the recommendation",riskWarningsAndDisadvantages.materialDisadvantages[];riskWarningsAndDisadvantages.limitations[];recommendations[].disadvantages[],G;H;B;C,always,"SetCoverage. Tolerance: Every material disadvantage identified in research or product literature should appear in the report.. Sections: Residency; Contact Address. 6 queries, 4 Core (Q8.1.1, Q8.1.2, Q8.1.3, Q8.1.4, Q8.1.5, Q8.1.6)"
CHK-008,"Disadvantages, Risks and Customer Understanding",Consistency,Product-specific and investment-specific risks explained,riskWarningsAndDisadvantages.productSpecificRisks[];riskWarningsAndDisadvantages.investmentRisks[];recommendations[].risks[],G;H,always,"SetCoverage. 5 queries, 4 Core (Q8.2.1, Q8.2.2, Q8.2.3, Q8.2.4, Q8.2.5)"
CHK-008,"Disadvantages, Risks and Customer Understanding",Consistency,Tax consequences of the recommendation,taxTreatment.consequencesStated[];recommendations[].taxImplications[],G;H,always,"SetCoverage. 4 queries, 4 Core (Q8.3.1, Q8.3.2, Q8.3.3, Q8.3.4)"
CHK-008,"Disadvantages, Risks and Customer Understanding",Consistency,Loss scenarios illustrated,riskWarningsAndDisadvantages.lossScenariosIllustrated[],F;H,always,"PresenceOnly. 3 queries, 2 Core (Q8.4.1, Q8.4.2, Q8.4.3)"
CHK-008,"Disadvantages, Risks and Customer Understanding",Consistency,Disadvantages and risks are fairly and prominently presented,riskWarningsAndDisadvantages.prominence,I,always,"Model-only: compares the report against itself, no evidence sought. NarrativeAlignment. 3 queries, 2 Core (Q8.5.1, Q8.5.2, Q8.5.3)"
CHK-008,"Disadvantages, Risks and Customer Understanding",Consistency,"Benefits, features or protections the client is giving up",replacementAnalysis[].featuresOrGuaranteesLost[];existingArrangements[].safeguardedBenefits;existingArrangements[].otherFeatures[];existingArrangements[].retirementOptionsAvailable,E;G,always,"SetCoverage. 3 queries, 3 Core (Q8.6.1, Q8.6.2, Q8.6.3)"
CHK-008,"Disadvantages, Risks and Customer Understanding",Consistency,Justification for increased costs or reduced projected outcomes,costsAndCharges.valueAssessment.costJustification[];recommendations[].disadvantages[];solution.recommendedPlans[].projections;costsAndCharges.comparison.direction,E;G;H,always,"NarrativeAlignment. 3 queries, 3 Core (Q8.7.1, Q8.7.2, Q8.7.3)"
CHK-008,"Disadvantages, Risks and Customer Understanding",Consistency,Material risks or limitations identified in the evidence but not disclosed in the report,riskWarningsAndDisadvantages.materialDisadvantages[];riskWarningsAndDisadvantages.limitations[];riskWarningsAndDisadvantages.productSpecificRisks[],E;G;H,always,"SetCoverage. 3 queries, 3 Core (Q8.8.1, Q8.8.2, Q8.8.3)"
CHK-009,Replacement or Switch Justification,Consistency,Comparison of existing versus recommended product and investments,replacementAnalysis[].comparison[],E;G;H;B,hasReplacementOrSwitch,"SetCoverage. Tolerance: Each dimension the report compares must be supported by provider or research documentation.. 7 queries, 7 Core (Q9.1.1, Q9.1.2, Q9.1.3, Q9.1.4, Q9.1.5, Q9.1.6, Q9.1.7)"
CHK-009,Replacement or Switch Justification,Consistency,"Benefits and costs of switching, including where benefits outweigh higher costs",replacementAnalysis[].benefitsOfSwitching[];replacementAnalysis[].costsOfSwitching,E;G;H,hasReplacementOrSwitch,"ValueMatch. Tolerance: Benefit claims must reconcile with the charge comparison for the same plan.. 5 queries, 5 Core (Q9.2.1, Q9.2.2, Q9.2.3, Q9.2.4, Q9.2.5)"
